name,center_x,center_y
AF_09_D,106.74516494287654,-6.082653598045942
AG_09_C,106.74517953017829,-6.087174632649955
AG_09_D,106.7451941285215,-6.091695666463614
AH_09_B,106.74520873790664,-6.09621669948634
AH_09_D,106.74522335833413,-6.10073773171755
AI_09_B,106.74523798980447,-6.1052587631566695
AI_09_D,106.74525263231808,-6.109779793803117
AJ_09_B,106.74526728587544,-6.1143008236563166
AJ_09_D,106.745281950477,-6.118821852715685
AK_09_B,106.7452966261232,-6.123342880980644
AK_09_D,106.74531131281454,-6.1278639084506175
AL_09_B,106.74532601055142,-6.132384935125025
AL_09_D,106.74534071933435,-6.1369059610032854
AE_10_C,106.74965225536863,-6.07359693317765
AF_10_A,106.74966685823713,-6.078117958419123
AF_10_B,106.74968147217474,-6.082638982871227
AG_10_A,106.7496960971819,-6.08716000653338
AG_10_C,106.74971073325905,-6.091681029405003
AH_10_A,106.74972538040664,-6.096202051485516
AH_10_C,106.74974003862518,-6.100723072774343
AI_10_A,106.74975470791507,-6.1052440932709
AI_10_C,106.7497693882768,-6.109765112974611
AJ_10_A,106.7497840797108,-6.114286131884898
AJ_10_C,106.74979878221755,-6.118807150001179
AK_10_A,106.74981349579751,-6.123328167322873
AK_10_C,106.74982822045114,-6.127849183849406
AL_10_A,106.74984295617887,-6.132370199580196
AL_10_C,106.74985770298119,-6.136891214514665
AE_10_D,106.754168698273,-6.073582302213756
AF_10_C,106.75418333878939,-6.078103316485475
AF_10_D,106.7541979904034,-6.082624329967648
AG_10_B,106.75421265311549,-6.087145342659695
AG_10_D,106.75422732692614,-6.091666354561036
AH_10_B,106.75424201183577,-6.096187365671093
AH_10_D,106.75425670784485,-6.100708375989286
AI_10_B,106.75427141495386,-6.1052293855150355
AI_10_D,106.75428613316322,-6.109750394247762
AJ_10_B,106.75430086247343,-6.114271402186886
AJ_10_D,106.75431560288492,-6.118792409331831
AK_10_B,106.75433035439816,-6.123313415682012
AK_10_D,106.75434511701361,-6.127834421236855
AL_10_B,106.75435989073173,-6.132355425995779
AL_10_D,106.754374675553,-6.136876429958203
AF_11_A,106.75869980824402,-6.078088636851661
AF_11_C,106.75871449753399,-6.082609639335659
AI_11_A,106.75878811089225,-6.10521463988953
AI_11_C,106.75880286694883,-6.109735637623024
AJ_11_A,106.75881763413476,-6.11425663456274
AJ_11_C,106.75883241245054,-6.118777630708099
AK_11_A,106.75884720189661,-6.123298626058518
AK_11_C,106.75886200247344,-6.127819620613423
AL_11_A,106.75887681418148,-6.132340614372229
AL_11_C,106.75889163702121,-6.13686160733436
AH_11_D,106.76329001295592,-6.10067886889545
AI_11_B,106.76330479570176,-6.105199856394842
AI_11_D,106.76331958960505,-6.109720843100856
AJ_11_B,106.76333439466626,-6.114241829012915
AJ_11_D,106.76334921088585,-6.11876281413044
AK_11_B,106.76336403826429,-6.1232837984528485
AK_11_D,106.76337887680202,-6.127804781979563
AL_11_B,106.76339372649953,-6.132325764710004
AL_11_D,106.76340858735726,-6.136846746643592
AH_12_C,106.76780664879023,-6.100664058587584
AI_12_A,106.76782146935379,-6.105185035031426
AI_12_C,106.76783630110336,-6.109706010681713
AJ_12_A,106.76785114403938,-6.11422698553787
AJ_12_C,106.76786599816232,-6.118747959599312
AK_12_A,106.76788086347266,-6.123268932865463
AK_12_C,106.76789573997085,-6.1277899053357405
AL_12_A,106.76791062765736,-6.132310877009564
AL_12_C,106.76792552653264,-6.136831847886358
AH_12_D,106.772323273439,-6.100649210439696
